DATE_TIME,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
15-05-2020 00:00,0,0,0,6837222.667,25.18431613,22.8575074,0
15-05-2020 00:15,0,0,0,6837222.667,25.08458867,22.76166787,0
15-05-2020 00:30,0,0,0,6837222.667,24.9357526,22.59230553,0
15-05-2020 00:45,0,0,0,6837222.667,24.8461304,22.36085213,0
15-05-2020 01:00,0,0,0,6852801.909,24.62152536,22.16542264,0
15-05-2020 01:15,0,0,0,6837222.667,24.5360922,21.96857087,0
15-05-2020 01:30,0,0,0,6837222.667,24.63867387,22.35292567,0
15-05-2020 01:45,0,0,0,6852801.909,24.87302233,23.1609192,0
15-05-2020 02:00,0,0,0,6837222.667,24.93693047,23.026113,0
15-05-2020 02:15,0,0,0,6837222.667,25.0122476,23.34322927,0
15-05-2020 02:30,0,0,0,6837222.667,25.00514933,23.63945927,0
15-05-2020 02:45,0,0,0,6837222.667,24.99301953,24.0394858,0
15-05-2020 03:00,0,0,0,6837222.667,25.01630943,24.38413557,0
15-05-2020 03:15,0,0,0,6837222.667,24.98521527,24.35150773,0
15-05-2020 03:30,0,0,0,6837222.667,24.93773193,24.06029653,0
15-05-2020 03:45,0,0,0,6837222.667,24.87909953,23.70979413,0
15-05-2020 04:00,0,0,0,6837222.667,24.6789022,22.58994153,0
15-05-2020 04:15,0,0,0,6852801.909,24.3519308,21.78364253,0
15-05-2020 04:30,0,0,0,6852801.909,24.0626222,21.85252493,0
15-05-2020 04:45,0,0,0,6852801.909,24.0132242,22.306315,0
15-05-2020 05:00,0,0,0,6852801.909,24.1771058,22.55190847,0
15-05-2020 05:15,0,0,0,6837222.667,24.304888,22.97949207,0
15-05-2020 05:30,0,0,0,6837222.667,24.32872727,23.45238047,0
15-05-2020 05:45,0,0,0,6837222.667,24.28921113,23.09669193,0.000862721
15-05-2020 06:00,942.1488095,90.92916667,0,6837222.667,24.08844607,22.2067566,0.005886957
15-05-2020 06:15,6142.10119,593.3386905,2.91723356,6837225.609,24.01163527,22.35345867,0.022281607
15-05-2020 06:30,15271.15476,1480.194643,14.75135281,6852816.604,23.97673127,22.893282,0.049409724
15-05-2020 06:45,28626.58929,2790.448214,37.25027056,6852839.047,24.21899,24.44244393,0.095394454
15-05-2020 07:00,41345.91429,4052.662143,78.07954545,6852879.872,24.5373984,27.18565287,0.141940443
15-05-2020 07:15,44564.20833,4368.722619,125.0898268,6852927.493,24.8159595,28.88847786,0.154712676
15-05-2020 07:30,43619.29167,4275.935119,175.0170455,6852976.929,24.98878987,29.6056438,0.148799153
15-05-2020 07:45,44395.89286,4352.094643,222.2012987,6853024.221,25.21618033,29.54711093,0.144793419
15-05-2020 08:00,64834.80357,6365.608929,280.0373377,6853081.752,25.41951307,31.41254473,0.201638621
15-05-2020 08:15,101937.1571,10002.06464,374.0548701,6853175.943,25.95908213,35.5287108,0.345707653
